date,total_parking_space,car_parking_space,scooter_parking_space,total_parking_income,total_income_count,income_car_count,income_scooter_count,total_income_hour,income_car_hour,income_scooter_hour,total_income_month,income_car_month,income_scooter_month,income_royalty,male_population,female_population,total_vehicle,total_car,total_scooter,total_population
2000-01-01,60278.0,58062.0,2216.0,208530375.0,8337230.0,8286230.0,51000.0,157521621.0,156574371.0,947250.0,31204920.0,31119420.0,85500.0,11466604.0,1304388.0,1335939.5,1589853.0,656314.0,933539.0,2640327.5
2000-02-01,60278.0,58062.0,2216.0,201502713.0,9751090.0,9715090.0,36000.0,147730109.0,146558839.0,1171270.0,31646160.0,31571160.0,75000.0,12375354.0,1304388.0,1335939.5,1584370.0,647398.0,936972.0,2640327.5
2000-03-01,60278.0,58062.0,2216.0,201502713.0,10604690.0,10571690.0,33000.0,141862739.0,141037849.0,824890.0,36659930.0,36554930.0,105000.0,12375354.0,1304388.0,1335939.5,1586148.0,645770.0,940378.0,2640327.5
2000-04-01,60278.0,58062.0,2216.0,206391067.0,10993720.0,10951720.0,42000.0,149632283.0,148813953.0,818330.0,33389710.0,33314710.0,75000.0,12375354.0,1304388.0,1335939.5,1593532.0,649686.0,943846.0,2640327.5
2000-05-01,60278.0,58062.0,2216.0,217140290.0,11170720.0,11146720.0,24000.0,159896186.0,159034346.0,861840.0,33586530.0,33492030.0,94500.0,12486854.0,1304388.0,1335939.5,1594956.0,649158.0,945798.0,2640327.5
2000-06-01,60278.0,58062.0,2216.0,164842636.0,7490993.0,7490993.0,24000.0,109019624.0,108052474.0,967150.0,34653665.0,34568165.0,85500.0,13678354.0,1304388.0,1335939.5,1597789.0,651472.0,946317.0,2640327.5
2000-07-01,60278.0,58062.0,2216.0,300502568.0,10007970.0,10007970.0,24000.0,240930404.0,239818074.0,1112330.0,35964740.0,35880740.0,84000.0,13599454.0,1304388.0,1335939.5,1604136.0,655359.0,948777.0,2640327.5
2000-08-01,60278.0,58062.0,2216.0,239310353.0,9118430.0,9118430.0,24000.0,179761369.0,178520279.0,1241090.0,36831100.0,36742600.0,88500.0,13599454.0,1304388.0,1335939.5,1610667.0,659868.0,950799.0,2640327.5
2000-09-01,60278.0,58062.0,2216.0,271397386.0,7254800.0,7254800.0,24000.0,212867542.0,211820892.0,1046650.0,37675590.0,37592040.0,83550.0,13599454.0,1304388.0,1335939.5,1616024.0,661682.0,954342.0,2640327.5
2000-10-01,60278.0,58062.0,2216.0,243524397.0,10207250.0,10207250.0,24000.0,184085270.0,183086470.0,998800.0,35872930.0,35783230.0,89700.0,13358947.0,1304388.0,1335939.5,1621237.0,664742.0,956495.0,2640327.5
2000-11-01,60278.0,58062.0,2216.0,245123969.0,8239600.0,8239600.0,24000.0,188615284.0,187631914.0,983370.0,37304630.0,37192880.0,111750.0,10964455.0,1304388.0,1335939.5,1624555.0,666234.0,958321.0,2640327.5
2000-12-01,60278.0,58062.0,2216.0,306947593.0,6072800.0,6072800.0,24000.0,251041945.0,249924715.0,1117230.0,38968889.0,38873939.0,94950.0,10863959.0,1304388.0,1335939.5,1625526.0,666513.0,959013.0,2640327.5
2001-01-01,59891.0,57675.0,2216.0,259622541.0,5015820.0,5015820.0,24000.0,207441068.0,206250948.0,1190120.0,36409150.0,36326800.0,82350.0,10756503.0,1309361.0,1337715.0,1629647.0,670323.0,959324.0,2647076.0
2001-02-01,60385.0,58169.0,2216.0,246225243.0,6172495.0,6172495.0,24000.0,193735756.0,192611776.0,1123980.0,35560490.0,35474390.0,86100.0,10756502.0,1308531.0,1337350.0,1631486.0,670691.0,960795.0,2645881.0
2001-03-01,60191.0,57975.0,2216.0,264483873.0,5292270.0,5281870.0,10400.0,209720270.0,208797490.0,922780.0,38761720.0,38656720.0,105000.0,10709613.0,1307593.0,1337009.0,1631276.0,671290.0,959986.0,2644602.0
2001-04-01,60618.0,58402.0,2216.0,249000474.0,4997160.0,4991360.0,5800.0,194554301.0,193606881.0,947420.0,38695400.0,38582900.0,112500.0,10753613.0,1306764.0,1336814.0,1631800.0,670924.0,960876.0,2643578.0
2001-05-01,60260.0,57887.0,2373.0,259822737.0,3736440.0,3726040.0,10400.0,208791023.0,207867893.0,923130.0,36541660.0,36456160.0,85500.0,10753614.0,1305601.0,1336219.0,1633310.0,671463.0,961847.0,2641820.0
